,Nivel,Cod,EnteFederativo,2018,2019,2020,2021
213,"""MU""","""1502301""","""Capitão Poço (PA)""","""499285""","""704295""","""705900""","""615773"""
214,"""MU""","""1502400""","""Castanhal (PA)""","""3911556""","""4034041""","""4300301""","""4709312"""
215,"""MU""","""1502509""","""Chaves (PA)""","""187399""","""194500""","""218467""","""248270"""
216,"""MU""","""1502608""","""Colares (PA)""","""80853""","""84851""","""93144""","""100969"""
217,"""MU""","""1502707""","""Conceição do Araguaia (PA)""","""552553""","""547713""","""622867""","""662825"""
218,"""MU""","""1502756""","""Concórdia do Pará (PA)""","""293528""","""291977""","""322762""","""420236"""
219,"""MU""","""1502764""","""Cumaru do Norte (PA)""","""288969""","""286710""","""408489""","""406927"""
220,"""MU""","""1502772""","""Curionópolis (PA)""","""820132""","""943189""","""644777""","""3667341"""
221,"""MU""","""1502806""","""Curralinho (PA)""","""522027""","""253303""","""267226""","""282512"""
222,"""MU""","""1502855""","""Curuá (PA)""","""124467""","""129485""","""140328""","""149717"""
223,"""MU""","""1502905""","""Curuçá (PA)""","""287319""","""289789""","""330621""","""369777"""
224,"""MU""","""1502939""","""Dom Eliseu (PA)""","""685324""","""660970""","""783667""","""940611"""
225,"""MU""","""1502954""","""Eldorado do Carajás (PA)""","""377618""","""429733""","""521578""","""556042"""
226,"""MU""","""1503002""","""Faro (PA)""","""54909""","""60014""","""63591""","""76730"""
227,"""MU""","""1503044""","""Floresta do Araguaia (PA)""","""340155""","""272593""","""414580""","""602623"""
228,"""MU""","""1503077""","""Garrafão do Norte (PA)""","""218668""","""220325""","""256719""","""276033"""
229,"""MU""","""1503093""","""Goianésia do Pará (PA)""","""339363""","""346998""","""372711""","""506638"""
230,"""MU""","""1503101""","""Gurupá (PA)""","""269626""","""280891""","""294870""","""334287"""
231,"""MU""","""1503200""","""Igarapé-Açu (PA)""","""355023""","""346236""","""379664""","""415894"""
232,"""MU""","""1503309""","""Igarapé-Miri (PA)""","""494094""","""519353""","""628526""","""691233"""
233,"""MU""","""1503408""","""Inhangapi (PA)""","""126126""","""119814""","""155877""","""174628"""
234,"""MU""","""1503457""","""Ipixuna do Pará (PA)""","""518924""","""576413""","""607746""","""625213"""
235,"""MU""","""1503507""","""Irituia (PA)""","""213458""","""220427""","""249344""","""278006"""
